,Title,Author(s),Number in Series,Series Title,Length of Series,Publication Month,Publication Day,Publication Year,Number of Pages,Genres,Similar Books,Rating,Number of Ratings,Number of 5-Star Ratings,Number of 4-Star Ratings,Number of 3-Star Ratings,Number of 2-Star Ratings,Number of 1-Star Ratings,Number of Reviews,Cover Image Tag,Synopsis
331,The New Way Things Work,David Macaulay,,,,,19,1998,400,"Science, Nonfiction, Reference, Childrens, Engineering, Technology, Physics, Picture Books, Education, How To","Searching for and Maintaining Peace: A Small Treatise on Peace of Heart by Jacques Philippe,, The Story of Ruby Bridges by Robert Coles,, Lives of the Saints: For Every Day in the Year by Alban Butler,, Webster's Spanish-English Dictionary for Students by Merriam-Webster,, Merriam-Webster's Collegiate Dictionary by Merriam-Webster,, Introduction to the Devout Life by Francis de Sales,, Jumanji by Chris Van Allsburg,, How We Got to Now: Six Innovations That Made the Modern World by Steven Johnson,, Thing Explainer: Complicated Stuff in Simple Words by Randall Munroe,, Selections from Harry Potter and the Order of the Phoenix: Piano Solos by John   Williams,, Operation Trinity (The 39 Clues: The Cahill Files, #1) by Clifford Riley,, Mission Hindenburg (The 39 Clues: Doublecross, #2) by C. Alexander London,, Swallows and Amazons (Swallows and Amazons, #1) by Arthur Ransome,, LEGO Harry Potter: Characters of the Magical World by Jon Richards,, LEGO Harry Potter: Building the Magical World by Elizabeth Dowsett,, Player's Handbook (Dungeons & Dragons, 5th Edition) by James Wyatt,, The New Kid on the Block by Jack Prelutsky,, Heartstopper: Volume Four (Heartstopper #4) by Alice Oseman",4.26,1978,1041,571,258,61,47,73,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1498400939l/109533._SX318_.jpg,"The information age is upon us, baffling us with thousands of complicated state-of-the-art technologies. To help make sense of the computer age, David Macaulay brings usThe New Way Things Work. This completely updated and expanded edition describes twelve new machines and includes more than seventy new pages detailing the latest innovations. With an entirely new section t"
332,Nicholas Nickleby,Charles Dickens,,,,,18,1839,817,"Classics, Fiction, Literature, 19th Century, Historical Fiction, British Literature, Victorian, Classic Literature, Novels, Audiobook","The Raid by Leo Tolstoy,, Framley Parsonage (Chronicles of Barsetshire #4) by Anthony Trollope,, The Last Chronicle of Barset by Anthony Trollope,, The Sebastopol Sketches by Leo Tolstoy,, Under the Greenwood Tree by Thomas Hardy,, The Mill on the Floss by George Eliot,, Barchester Towers by Anthony Trollope,, The Return of the Native by Thomas Hardy,, Polikuchka by Leo Tolstoy,, The Small House at Allington by Anthony Trollope,, The Warden (Chronicles of Barsetshire, #1) by Anthony Trollope,, The Way We Live Now by Anthony Trollope,, Mary Barton by Elizabeth Gaskell,, Castle Richmond by Anthony Trollope,, Cranford by Elizabeth Gaskell,, Felix Holt: The Radical by George Eliot,, An Old Man's Love by Anthony Trollope,, Can You Forgive Her? by Anthony Trollope",3.93,42383,13711,15705,9885,2284,798,1785,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1352758388l/325085.jpg,"When Nicholas Nickleby is left penniless after his father's death, he appeals to his wealthy uncle to help him find work and to protect his mother and sister. But Ralph Nickleby proves both hard-hearted and unscrupulous, and Nicholas finds himself forced to make his own way in the world. His adventures gave Dickens the opportunity to portray an extraordinary gallery of rog"
333,Nickel and Dimed: On (Not) Getting by in America,Barbara Ehrenreich,,,,May,8,2001,240,"Nonfiction, Sociology, Politics, Economics, Memoir, Social Justice, Poverty, School, Social Issues, Adult","Fast Food Nation: The Dark Side of the All-American Meal by Eric Schlosser,, Savage Inequalities: Children in America's Schools by Jonathan Kozol,, Evicted: Poverty and Profit in the American City by Matthew Desmond,, The Working Poor: Invisible in America by David K. Shipler,, Scratch Beginnings: Me, $25, and the Search for the American Dream by Adam Shepard,, Maid: Hard Work, Low Pay, and a Mother's Will to Survive by Stephanie  Land,, The Omnivore's Dilemma: A Natural History of Four Meals by Michael Pollan,, $2.00 a Day: Living on Almost Nothing in America by Kathryn J. Edin,, What's the Matter with Kansas? How Conservatives Won the Heart of America by Thomas  Frank,, Kitchen Confidential: Adventures in the Culinary Underbelly by Anthony Bourdain,, Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation by Lynne Truss,, Into the Wild by Jon Krakauer,, There are No Children Here: The Story of Two Boys Growing Up in the Other America by Alex Kotlowitz,, Hand to Mouth: Living in Bootstrap America by Linda Tirado,, Under the Banner of Heaven: A Story of Violent Faith by Jon Krakauer,, Race, Class, & Gender: An Anthology by Margaret L. Andersen,, Uncle Tom's Cabin by Evelyn Goodman",3.64,186306,47578,64131,46317,16495,11785,6814,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442378091l/1869._SY475_.jpg,"Millions of Americans work full-time, year-round, for poverty-level wages. In 1998, Barbara Ehrenreich decided to join them. She was inspired in part by the rhetoric surrounding welfare reform, which promised that any job equals a better life. But how can anyone survive, let alone prosper, on $6-$7 an hour? To find out, Ehrenreich moved from Florida to Maine to Minnesota,"
334,Night,Elie Wiesel,1,The Night Trilogy,3,,19,1956,115,"Nonfiction, Classics, History, Memoir, Holocaust, Biography, School, Historical, War, World War II","To Kill a Mockingbird by Harper Lee,, The Outsiders by S.E. Hinton,, The Giver (The Giver, #1) by Lois Lowry,, Of Mice and Men by John Steinbeck,, The Great Gatsby by F. Scott Fitzgerald,, The Diary of a Young Girl by Anne Frank,, Into the Wild by Jon Krakauer,, The Glass Castle by Jeannette Walls,, Lord of the Flies by William Golding,, Romeo and Juliet by William Shakespeare,, Fahrenheit 451 by Ray Bradbury,, Unbroken: A World War II Story of Survival, Resilience and Redemption by Laura Hillenbrand,, The Catcher in the Rye by J.D. Salinger,, Animal Farm by George Orwell,, Number the Stars by Lois Lowry,, Tuesdays with Morrie by Mitch Albom,, The Immortal Life of Henrietta Lacks by Rebecca Skloot,, The Kite Runner by Khaled Hosseini",4.35,1102164,605773,333395,122818,26844,13334,32930,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575073611l/1617.jpg,"Born in the town of Sighet, Transylvania, Elie Wiesel was a teenager when he and his family were taken from their home in 1944 to Auschwitz concentration camp, and then to Buchenwald.Nightis the terrifying record of Elie Wiesel's memories of the death of his family, the death of his own innocence, and his despair as a deeply observant Jew confronting the absolute evil of"
335,No man is an island – A selection from the prose,John Donne,,,,,16,1624,256,"Poetry, Classics, Philosophy, Nonfiction, Christian","Alone by Edgar Allan Poe,, Fire and Ice by Robert Frost,, The Second Coming by W.B. Yeats,, Annabel Lee by Edgar Allan Poe,, Do Not Go Gentle Into That Good Night by Dylan Thomas,, Oh Captain! My Captain! by Walt Whitman,, Lines Composed a Few Miles Above Tintern Abbey by William Wordsworth,, Stopping by Woods on a Snowy Evening by Robert Frost,, And Still I Rise by Maya Angelou,, A Modest Proposal by Jonathan Swift,, If by Rudyard Kipling,, Dover Beach by Matthew Arnold,, To Helen by Edgar Allan Poe,, My Last Duchess by Robert Browning,, Araby by James Joyce,, The World Is Too Much with Us by William Wordsworth,, Crossing the Bar by Alfred Tennyson,, In Memoriam by Alfred Tennyson",4.07,207,90,69,30,9,9,20,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438539554l/6597341.jpg,"This meditative prose conveys the essence of the human place in the world – past and present.'Any man’s death diminishes me, because I am involved in Mankind. And therefore never send to know for whom the bell tolls: It tolls for thee'Perhaps no one wrote better about the human condition – heart, body and soul – than John Donne (1572–1631). Known in his youth as a ‘great V"
336,Northanger Abbey,Jane Austen,,,,December,18,1817,260,"Classics, Fiction, Romance, Gothic, Historical Fiction, Literature, 19th Century, Historical, Audiobook, British Literature","Jane Eyre by Charlotte Brontë,, Wuthering Heights by Emily Brontë,, Agnes Grey by Anne Brontë,, North and South by Elizabeth Gaskell,, The Tenant of Wildfell Hall by Anne Brontë,, Villette by Charlotte Brontë,, The Castle of Otranto by Horace Walpole,, Persuasion by Jane Austen by Judy Simons,, Little Women by Louisa May Alcott,, Tess of the D'Urbervilles by Thomas Hardy,, The Professor by Charlotte Brontë,, The Picture of Dorian Gray by Oscar Wilde,, Anne of Green Gables (Anne of Green Gables, #1) by L.M. Montgomery,, Frankenstein: The 1818 Text by Mary Wollstonecraft Shelley,, Great Expectations by Charles Dickens,, A Room with a View by E.M. Forster,, Mrs. Dalloway by Virginia Woolf,, Far From the Madding Crowd by Thomas Hardy",3.84,347398,98656,128157,92653,21833,6099,16223,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388201718l/50398.jpg,"A wonderfully entertaining coming-of-age story,Northanger Abbeyis often referred to as Jane Austen's ""Gothic parody."" Decrepit castles, locked rooms, mysterious chests, cryptic notes, and tyrannical fathers give the story an uncanny air, but one with a decidedly satirical twist.The story's unlikely heroine is Catherine Morland, a remarkably innocent seventeen-year-old wo"
337,The Norton Anthology of Theory and Criticism,,,,,June,13,2001,2662,"Nonfiction, Reference, Literary Criticism, Theory, Philosophy, Literature, Criticism, Anthologies, Academic, Essays","Beginning Theory: An Introduction to Literary and Cultural Theory by Peter  Barry,, Imagist Poetry by Peter Austin Jones,, Image - Music - Text by Roland Barthes,, Literary Theory: A Very Short Introduction by Jonathan D. Culler,, The Norton Anthology of Poetry by Margaret Ferguson,, The Norton Anthology of English Literature, Volume 1: The Middle Ages through the Restoration & the Eighteenth Century by M.H. Abrams,, Reclaiming Female Agency: Feminist Art History after Postmodernism by Norma Broude,, Wisteria Witches (Wisteria Witches, #1) by Angela Pepper,, Women, Art, and Society (World of Art) by Whitney Chadwick,, The Norton Anthology of English Literature, Volume 2: The Romantic Period through the Twentieth Century by M.H. Abrams,, Bum Deal (Jake Lassiter #12) by Paul Levine,, The Murder Game by Julie Apple,, Fake News & Office Blues (Avery Shaw, #20) by Amanda M. Lee,, My Wife's Secrets (My Husband's Fiancee #2) by Wendy Owens,, After She Left by Claire Amarti,, An Elderly Lady Must Not Be Crossed (Elderly Lady, #2) by Helene Tursten,, Postmodern American Fiction: A Norton Anthology by Paula Geyh,, Monochrome Factor, Volume 1 by Kairi Sorano",4.14,2017,918,626,348,85,40,97,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388176440l/47173.jpg,"This anthology of critical writing (2624 pp. + XXXVIII) ranges from Gorgias and Plato to Sigmund Freud and Mikhail Bakhtin. Each of the 147 contributions has a headnote introducing the writer and making connections to other critics, theorists and movements. An introduction surveys the history of theory and criticism."
338,Notes of a Dirty Old Man,Charles Bukowski,,,,,19,1969,204,"Fiction, Short Stories, Poetry, Classics, Literature, Essays, American, Novels, The United States Of America, 20th Century","Ask the Dust (The Saga of Arturo Bandini, #3) by John Fante,, Exterminator! by William S. Burroughs,, And the Hippos Were Boiled in Their Tanks by William S. Burroughs,, Wait Until Spring, Bandini (The Saga of Arturo Bandini, #1) by John Fante,, Sky Above, Great Wind: The Life and Poetry of Zen Master Ryokan by Ryōkan,, Journey to the End of the Night by Louis-Ferdinand Céline,, Dreams from Bunker Hill (The Saga of Arturo Bandini, #4) by John Fante,, Naked Lunch by William S. Burroughs,, The Ticket That Exploded (The Nova Trilogy #3) by William S. Burroughs,, The Wheel of Time: The Shamans of Mexico Their Thoughts About Life Death & the Universe by Carlos Castaneda,, Tropic of Cancer (Tropic, #1) by Henry Miller,, Naufrágio by João Tordo,, On the Road by Jack Kerouac,, Scattered Poems by Jack Kerouac,, Midnight Exposure (Midnight, #1) by Melinda Leigh,, The Soft Machine (The Nova Trilogy #1) by William S. Burroughs,, Van Gogh. Il suicidato della società by Antonin Artaud,, Fear and Loathing in Las Vegas by Hunter S. Thompson",3.94,22109,6992,8695,4995,1066,361,620,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1583379902l/38502._SX318_.jpg,"""People come to my door—too many of them really—and knock to tell me Notes of a Dirty Old Man turns them on. A bum off the road brings in a gypsy and his wife and we talk . . . . drink half the night. A long distance operator from Newburgh, N.Y. sends me money. She wants me to give up drinking beer and to eat well. I hear from a madman who calls himself 'King Arthur' and l"
339,"Novels, 1930-1942: Dance Night / Come Back to Sorrento / Turn, Magic Wheel / Angels on Toast / A Time to Be Born",Dawn Powell,,,,,19,1930,1068,"Fiction, Classics, Literature, Novels, 20th Century, Literary Fiction, New York, American","A Confederacy of Dunces by John Kennedy Toole,, Later by Stephen King,, The Age of Innocence by Edith Wharton,, The Swerve: How the World Became Modern by Stephen Greenblatt,, The Group by Mary McCarthy,, The Summer Book by Tove Jansson,, Literary Essays and Reviews of the 1920s & 30s by Edmund Wilson,, The Radicalism of the American Revolution by Gordon S. Wood,, The Black City by George Sand,, The Book of Light by Lucille Clifton,, Underworld by Don DeLillo,, The Faulkner-Cowley File: Letters and Memories, 1944-1962 by Malcolm Cowley,, Gandhi's Truth: On the Origins of Militant Nonviolence by Erik H. Erikson,, The House of Mirth by Edith Wharton,, Money: The Unauthorised Biography by Felix Martin,, Betrayal by Harold Pinter,, Collected Stories, 1891-1910 by Edith Wharton,, In Faulkner's Shadow: A Memoir by Lawrence Wells",3.72,395,141,112,75,26,41,24,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347656799l/92286.jpg,"For decades after her death, Dawn Powell's work was out of print, cherished by a small band of admirers. Only recently has there been renewed awareness of the novelist who was such a vital presence in literary Greenwich Village from the 1920s to the 1960s. With these two volumes, The Library of America presents the best of Powell's quirky, often hilarious, sometimes deeply"
340,November of the Heart,LaVyrle Spencer,,,,,19,1993,432,"Romance, Historical Romance, Fiction, Historical Fiction, Historical, Contemporary, Chick Lit, M F Romance, Adult, Adult Fiction","The Tenderfoot Bride by Cheryl St. John,, A Lady Awakened (Blackshear Family, #1) by Cecilia Grant,, Dying to Please by Linda Howard,, A Taste Of Heaven by Alexis Harrington,, Special Delivery by Danielle Steel,, Bamboo & Lace by Lori Wick,, The Lovesick Cure (Tales from Marrying Stone, #3) by Pamela Morsi,, Power of a Woman by Barbara Taylor Bradford,, Flowers from the Storm by Laura Kinsale,, Lady Be Good (Wynette, Texas, #2) by Susan Elizabeth Phillips,, Mackenzie's Mountain (Mackenzie Family, #1) by Linda Howard,, Dream Lake (Friday Harbor, #3) by Lisa Kleypas,, Scoundrel (Montagues, #3) by Elizabeth Elliott,, Someday Soon (Deliverance Company series Book 1) by Debbie Macomber,, French Leave (Weaver, #3) by Sheri Cobb South,, The Mésalliance (Rockliffe, #2) by Stella Riley,, Open Season by Linda Howard,, Lavender Lady by Carola Dunn",4.06,3092,1196,1075,650,140,31,150,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387702292l/685606.jpg,"Set at the turn of the century, November of the Heart tells of Lorna Barnett, a young woman from a wealthy Saint Paul family, and Jens Harken, the ambitious dreamer who works in the kitchen of her family’s summer estate. Lorna’s father, Gideon, an avid sailor, is determined to claim victory for his own White Bear Yacht Club in the next summer regatta. Having recently suffe"
